brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
mercedes-benz,eqt 200 long,132,45.0,lithium-ion,487,245.0,177,220,13.3,50.0,ccs,1500.0,828.0,7,fwd,n - passenger van,4922,1859,1811,small passenger van,https://ev-database.org/car/2239/Mercedes-Benz-EQT-200-Long
mercedes-benz,eqt 200 standard,132,45.0,lithium-ion,487,245.0,167,225,12.6,50.0,ccs,1500.0,551.0,5,fwd,n - passenger van,4498,1859,1819,small passenger van,https://ev-database.org/car/1908/Mercedes-Benz-EQT-200-Standard
mercedes-benz,eqv 250 extra-long,160,60.0,lithium-ion,192,365.0,282,210,12.0,60.0,ccs,0.0,1410.0,7,fwd,n - passenger van,5370,1928,1911,small passenger van,https://ev-database.org/car/2130/Mercedes-Benz-EQV-250-Extra-Long
mercedes-benz,eqv 250 long,160,60.0,lithium-ion,192,365.0,282,215,12.0,60.0,ccs,0.0,1030.0,7,fwd,n - passenger van,5140,1928,1910,small passenger van,https://ev-database.org/car/2129/Mercedes-Benz-EQV-250-Long
mercedes-benz,eqv 300 extra-long,140,90.0,lithium-ion,288,365.0,249,315,12.2,96.0,ccs,0.0,1410.0,7,fwd,n - passenger van,5370,1928,1901,small passenger van,https://ev-database.org/car/2274/Mercedes-Benz-EQV-300-Extra-Long
mercedes-benz,eqv 300 long,160,90.0,lithium-ion,288,365.0,276,320,12.1,96.0,ccs,0.0,1030.0,7,fwd,n - passenger van,5140,1928,1901,small passenger van,https://ev-database.org/car/2131/Mercedes-Benz-EQV-300-Long
mercedes-benz,g 580,180,116.0,lithium-ion,216,1164.0,267,360,4.7,150.0,ccs,0.0,555.0,5,awd,jf - luxury,4624,1931,1986,suv,https://ev-database.org/car/2192/Mercedes-Benz-G-580
mercedes-benz,evito tourer extra-long 60 kwh,160,60.0,lithium-ion,192,360.0,254,215,12.0,60.0,ccs,0.0,1390.0,8,fwd,n - passenger van,5370,1928,1890,small passenger van,https://ev-database.org/car/2139/Mercedes-Benz-eVito-Tourer-Extra-Long-60-kWh
mercedes-benz,evito tourer long 60 kwh,160,60.0,lithium-ion,192,360.0,259,220,12.0,60.0,ccs,0.0,990.0,8,fwd,n - passenger van,5140,1928,1890,small passenger van,https://ev-database.org/car/2138/Mercedes-Benz-eVito-Tourer-Long-60-kWh
mercedes-benz,evito tourer long 90 kwh,160,90.0,lithium-ion,288,360.0,260,325,12.1,96.0,ccs,0.0,990.0,8,fwd,n - passenger van,5140,1928,1890,small passenger van,https://ev-database.org/car/2140/Mercedes-Benz-eVito-Tourer-Long-90-kWh
mini,aceman e,160,38.5,lithium-ion,487,290.0,129,230,7.9,60.0,ccs,750.0,300.0,5,fwd,jb - compact,4079,1754,1514,suv,https://ev-database.org/car/2190/Mini-Aceman-E
mini,aceman jcw,200,49.2,lithium-ion,487,350.0,143,280,6.4,75.0,ccs,750.0,300.0,5,fwd,jb - compact,4079,1754,1514,suv,https://ev-database.org/car/3059/Mini-Aceman-JCW
mini,aceman se,170,49.2,lithium-ion,487,330.0,129,290,7.1,75.0,ccs,750.0,300.0,5,fwd,jb - compact,4079,1754,1514,suv,https://ev-database.org/car/2191/Mini-Aceman-SE
mini,cooper e,160,36.6,lithium-ion,487,290.0,125,250,7.3,60.0,ccs,0.0,200.0,4,fwd,b - compact,3858,1756,1460,hatchback,https://ev-database.org/car/1997/Mini-Cooper-E
mini,cooper jcw,200,49.2,lithium-ion,487,350.0,135,290,5.9,75.0,ccs,0.0,200.0,4,fwd,b - compact,3858,1756,1460,hatchback,https://ev-database.org/car/3058/Mini-Cooper-JCW
mini,cooper se,170,49.2,lithium-ion,487,330.0,127,330,6.7,75.0,ccs,0.0,200.0,4,fwd,b - compact,3858,1756,1460,hatchback,https://ev-database.org/car/1998/Mini-Cooper-SE
mini,countryman e,170,64.6,lithium-ion,487,250.0,140,380,8.6,94.0,ccs,750.0,460.0,5,fwd,jc - medium,4433,1843,1656,suv,https://ev-database.org/car/1994/Mini-Countryman-E
mini,countryman se all4,180,64.6,lithium-ion,487,494.0,149,365,5.6,94.0,ccs,1200.0,460.0,5,awd,jc - medium,4433,1843,1656,suv,https://ev-database.org/car/1995/Mini-Countryman-SE-ALL4
nio,el6 long range,200,90.0,lithium-ion,96,700.0,170,435,4.5,135.0,ccs,1200.0,579.0,5,awd,je - executive,4854,1995,1703,suv,https://ev-database.org/car/1922/NIO-EL6-Long-Range
nio,el6 standard range,200,73.5,lithium-ion,118,700.0,181,365,4.5,110.0,ccs,1200.0,579.0,5,awd,je - executive,4854,1995,1703,suv,https://ev-database.org/car/1921/NIO-EL6-Standard-Range
nio,el7 long range,200,90.0,lithium-ion,96,850.0,185,430,3.9,100.0,ccs,2000.0,570.0,5,awd,jf - luxury,4912,1987,1720,suv,https://ev-database.org/car/1789/NIO-EL7-Long-Range
